method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-pred-depth,40,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,41,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,42,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,43,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,44,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,45,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,46,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,47,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,48,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,49,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,50,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,51,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,52,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,53,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,54,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,55,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,56,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,57,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,58,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,59,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,60,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,61,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,62,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,63,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,64,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,65,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,66,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,67,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,68,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,69,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,70,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,71,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,72,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,73,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,74,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,75,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,76,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,77,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,78,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,79,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
active-gs-pred-depth,80,3,0.552802,0.292563,0.584031,0.443154,0.153810,0.062008
gleam-gt-depth,1,3,0.089287,0.024827,0.743129,0.286447,0.146609,0.096443
gleam-gt-depth,2,3,0.204831,0.012156,0.526107,0.163384,0.097442,0.026883
gleam-gt-depth,3,3,0.296052,0.015426,0.490189,0.011060,0.121851,0.143473
gleam-gt-depth,4,3,0.375567,0.007037,0.474089,0.038825,0.107742,0.107795
gleam-gt-depth,5,3,0.380166,0.007309,0.312885,0.087403,0.114606,0.078143
gleam-gt-depth,6,3,0.386965,0.009775,0.295832,0.111550,0.102215,0.085966
gleam-gt-depth,7,3,0.405456,0.003265,0.319317,0.146996,0.080366,0.077661
gleam-gt-depth,8,3,0.431742,0.009076,0.247414,0.105613,0.132843,0.062114
gleam-gt-depth,9,3,0.433460,0.009510,0.179412,0.112095,0.145146,0.036824
gleam-gt-depth,10,3,0.438822,0.008795,0.170930,0.158126,0.131199,0.028692
gleam-gt-depth,11,3,0.453251,0.019329,0.150947,0.127899,0.128628,0.018765
gleam-gt-depth,12,3,0.463323,0.014687,0.164378,0.099620,0.121693,0.025058
gleam-gt-depth,13,3,0.470811,0.012769,0.115618,0.104315,0.107882,0.019363
gleam-gt-depth,14,3,0.485689,0.015139,0.117958,0.094864,0.101721,0.035466
gleam-gt-depth,15,3,0.495141,0.014560,0.115950,0.108115,0.100450,0.029744
gleam-gt-depth,16,3,0.496991,0.013326,0.109558,0.100439,0.099777,0.031342
gleam-gt-depth,17,3,0.497001,0.013324,0.119793,0.081578,0.097319,0.031457
gleam-gt-depth,18,3,0.497030,0.013320,0.118369,0.079650,0.094346,0.035633
gleam-gt-depth,19,3,0.497231,0.013294,0.119346,0.080972,0.093268,0.037149
gleam-gt-depth,20,3,0.497231,0.013294,0.116129,0.076626,0.090601,0.040902
gleam-gt-depth,21,3,0.497246,0.013292,0.116580,0.077234,0.090408,0.041174
gleam-gt-depth,22,3,0.497253,0.013291,0.116191,0.076710,0.090144,0.041546
gleam-gt-depth,23,3,0.499156,0.013351,0.114260,0.074114,0.089695,0.042177
gleam-gt-depth,24,3,0.499199,0.013359,0.113694,0.073354,0.089723,0.042138
gleam-gt-depth,25,3,0.499530,0.013426,0.113121,0.072586,0.089116,0.042994
gleam-gt-depth,26,3,0.499530,0.013426,0.113186,0.072673,0.088341,0.044085
gleam-gt-depth,27,3,0.500765,0.013817,0.110883,0.069596,0.085770,0.047708
gleam-gt-depth,28,3,0.500765,0.013817,0.110177,0.068656,0.085527,0.048051
gleam-gt-depth,29,3,0.504902,0.016460,0.110957,0.069695,0.088214,0.044264
gleam-gt-depth,30,3,0.505046,0.016582,0.110699,0.069351,0.090641,0.040846
gleam-gt-depth,31,3,0.507020,0.018397,0.111014,0.069771,0.089520,0.042425
gleam-gt-depth,32,3,0.508911,0.020343,0.115568,0.075871,0.091856,0.039136
gleam-gt-depth,33,3,0.512411,0.024314,0.121367,0.083714,0.095246,0.034368
gleam-gt-depth,34,3,0.524160,0.039303,0.113375,0.072926,0.092657,0.038008
gleam-gt-depth,35,3,0.524933,0.040333,0.110264,0.068772,0.091603,0.039492
gleam-gt-depth,36,3,0.525125,0.040590,0.117769,0.078839,0.093884,0.036282
gleam-gt-depth,37,3,0.525242,0.040747,0.119434,0.081091,0.094088,0.035996
gleam-gt-depth,38,3,0.525566,0.041180,0.117063,0.077885,0.097064,0.031816
gleam-gt-depth,39,3,0.526024,0.041795,0.112663,0.071973,0.101631,0.025416
