method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-pred-depth,4,18,0.385956,0.151716,0.498426,0.343202,0.357776,0.198977
active-gs-pred-depth,5,18,0.414033,0.165278,0.495919,0.340577,0.345162,0.194755
active-gs-pred-depth,6,18,0.440522,0.180065,0.494305,0.340365,0.342259,0.184448
active-gs-pred-depth,7,18,0.455493,0.189310,0.490027,0.343013,0.321415,0.153298
active-gs-pred-depth,8,18,0.480344,0.202078,0.476273,0.350268,0.345873,0.173544
active-gs-pred-depth,9,18,0.501072,0.214047,0.487815,0.343701,0.345881,0.175467
active-gs-pred-depth,10,18,0.514944,0.221836,0.481891,0.347520,0.337339,0.174976
active-gs-pred-depth,11,18,0.522698,0.226772,0.481798,0.348219,0.331548,0.156783
active-gs-pred-depth,12,18,0.526470,0.229360,0.485568,0.344982,0.326405,0.157723
active-gs-pred-depth,13,18,0.532913,0.233621,0.489333,0.342842,0.312242,0.143630
active-gs-pred-depth,14,18,0.543499,0.240656,0.496434,0.338039,0.309854,0.144634
active-gs-pred-depth,15,18,0.547759,0.242866,0.495881,0.339158,0.307202,0.159552
active-gs-pred-depth,16,18,0.550145,0.244260,0.507403,0.332903,0.305140,0.162132
active-gs-pred-depth,17,18,0.556914,0.248553,0.498185,0.338606,0.289595,0.147955
active-gs-pred-depth,18,18,0.558567,0.249693,0.501717,0.336069,0.285161,0.135462
active-gs-pred-depth,19,18,0.560603,0.251112,0.504032,0.334591,0.280232,0.134597
active-gs-pred-depth,20,18,0.563800,0.253213,0.505005,0.335131,0.272304,0.131867
active-gs-pred-depth,21,18,0.566568,0.255154,0.503525,0.335288,0.270589,0.137788
active-gs-pred-depth,22,18,0.569234,0.256929,0.505186,0.334405,0.269202,0.136304
active-gs-pred-depth,23,18,0.571329,0.258254,0.504668,0.335084,0.262052,0.131690
active-gs-pred-depth,24,18,0.572628,0.259219,0.507365,0.333623,0.261764,0.132380
active-gs-pred-depth,25,18,0.573462,0.259814,0.507094,0.333011,0.257280,0.128927
active-gs-pred-depth,26,18,0.574251,0.260410,0.508275,0.332336,0.251705,0.125283
active-gs-pred-depth,27,18,0.574658,0.260710,0.506913,0.333245,0.248306,0.126264
active-gs-pred-depth,28,18,0.575138,0.261061,0.508483,0.332714,0.246640,0.127616
active-gs-pred-depth,29,18,0.576383,0.261880,0.507484,0.333426,0.244139,0.127419
active-gs-pred-depth,30,18,0.576671,0.262075,0.508763,0.332358,0.246260,0.128975
active-gs-pred-depth,31,18,0.576797,0.262166,0.509232,0.332327,0.245295,0.130515
active-gs-pred-depth,32,18,0.576972,0.262299,0.509461,0.332072,0.245257,0.131256
active-gs-pred-depth,33,18,0.577508,0.262684,0.511818,0.331311,0.245921,0.131376
active-gs-pred-depth,34,18,0.577667,0.262804,0.512292,0.330886,0.246229,0.131807
active-gs-pred-depth,35,18,0.579771,0.264312,0.513328,0.330550,0.245145,0.129601
active-gs-pred-depth,36,18,0.580544,0.264890,0.515046,0.330022,0.245850,0.127540
active-gs-pred-depth,37,18,0.580626,0.264953,0.516915,0.328895,0.245669,0.127815
active-gs-pred-depth,38,18,0.580904,0.265166,0.515551,0.329598,0.245793,0.128279
active-gs-pred-depth,39,18,0.581066,0.265291,0.515465,0.329732,0.247267,0.128064
active-gs-pred-depth,40,18,0.582029,0.266060,0.515651,0.329712,0.247705,0.126281
